Provinsi,Tahun,PDRB,UMP,IPM,Investasi,KRT
Kep. Riau,2023,154178.97,"3,279,194.00",77.11,8856.6,7848561.0
Dki Jakarta,2023,322615.13,"4,901,798.00",82.46,95202.1,10665373.0
Jawa Barat,2023,52651.45,"1,986,670.17",73.74,88012.9,6163600.0
Jawa Tengah,2023,45198.51,"1,958,169.69",73.39,32987.2,4572603.0
Di Yogyakarta,2023,48358.22,"1,981,782.39",81.07,5015.5,6469830.0
Jawa Timur,2023,71121.93,"2,040,244.30",73.38,74937.4,5015394.0
Banten,2023,66147.39,"2,661,280.11",73.87,37971.7,7188547.0
Bali,2023,62293.23,"2,713,672.28",77.1,6950.8,6942290.0
Nusa Tenggara Barat,2023,29925.6,"2,371,407.00",70.2,30766.2,4617819.0
Nusa Tenggara Timur,2023,23078.03,"2,123,994.00",66.68,3407.2,4605962.0
Kalimantan Barat,2023,48808.92,"2,608,601.75",69.41,14892.0,5582538.0
Kalimantan Tengah,2023,75293.97,"3,181,013.00",72.2,8779.5,5779015.0
Kalimantan Selatan,2023,63779.06,"3,149,977.65",72.5,14909.4,5777021.0
Kalimantan Timur,2023,215761.42,"3,201,396.04",78.2,52171.7,7730635.0
Kalimantan Utara,2023,201748.78,"3,251,702.67",72.49,8199.1,7282464.0
Sulawesi Utara,2023,64130.96,"3,485,000.00",74.36,7698.2,5062041.0
Sulawesi Tengah,2023,112461.06,"2,599,546.00",70.95,4772.5,5122761.0
Sulawesi Selatan,2023,69702.4,"3,385,145.00",73.46,11468.3,5368029.0
Sulawesi Tenggara,2023,64088.4,"2,758,984.54",72.79,7734.6,5209446.0
Gorontalo,2023,42346.82,"2,989,350.00",70.45,3960.1,5273676.0
Sulawesi Barat,2023,39533.27,"2,871,794.82",67.55,2011.1,4600653.0
Maluku,2023,30456.11,"2,812,827.66",70.94,1904.5,5830358.0
Maluku Utara,2023,63676.84,"2,976,720.00",70.21,6901.0,6108317.0
Papua Barat,2023,108101.5,"3,282,000.00",66.66,1261.9,6816752.0
Papua Barat Daya,2023,58450.13,,,1708.7,
Papua,2023,78061.39,"3,864,696.00",62.25,1174.1,6328085.0
Papua Selatan,2023,58680.24,,,152.5,
Papua Tengah,2023,103503.9,,,458.8,
Papua Pegunungan,2023,16869.97,,,121.8,
